订单ID,开票日期,合伙人ID,上级合伙人ID,开票金额
101,01/02/2019,1,1976,454486.69
102,01/02/2019,1,1976,202569
103,01/02/2019,1,1976,38109.28
110,02/02/2019,1,1976,220795.03
111,02/02/2019,1,1976,57390.94
112,02/02/2019,1,1976,15575.84
113,02/02/2019,1,1976,47468.5
114,02/02/2019,1,1976,286426.71
119,12/02/2019,1,1976,183053.79
124,15/02/2019,1,1976,676725.6
126,18/02/2019,1,1976,137584.1
127,18/02/2019,1,1976,69665.34
130,19/02/2019,1,1976,226020.2
131,19/02/2019,1,1976,1369600
136,21/02/2019,1,1976,144479.34
141,22/02/2019,1,1976,13001.54
155,26/02/2019,1,1976,58377.43
156,26/02/2019,1,1976,751068.06
157,26/02/2019,1,1976,16691.1
158,26/02/2019,1,1976,1036800
171,01/03/2019,1,1976,419593.15
172,01/03/2019,1,1976,81840
175,04/03/2019,1,1976,799869.91
176,04/03/2019,1,1976,63532.58
179,05/03/2019,1,1976,906469.41
180,05/03/2019,1,1976,225834
181,05/03/2019,1,1976,599375.42
184,06/03/2019,1,1976,203920.06
187,07/03/2019,1,1976,219454.37
188,07/03/2019,1,1976,196898.4
189,07/03/2019,1,1976,1026260
190,08/03/2019,1,1976,733780.81
191,08/03/2019,1,1976,332826.65
192,08/03/2019,1,1976,328740.93
194,11/03/2019,1,1976,291400.59
195,11/03/2019,1,1976,75027.2
196,11/03/2019,1,1976,891464
201,12/03/2019,1,1976,1061925.68
202,12/03/2019,1,1976,626326.17
208,13/03/2019,1,1976,224187.69
209,13/03/2019,1,1976,6739.77
210,13/03/2019,1,1976,172144.2
213,14/03/2019,1,1976,174933.33
219,18/03/2019,1,1976,167936.1
223,19/03/2019,1,1976,154292.03
224,19/03/2019,1,1976,112012.89
230,20/03/2019,1,1976,400210.25
238,21/03/2019,1,1976,93849.36
239,21/03/2019,1,1976,976487
250,22/03/2019,1,1976,172834.88
251,22/03/2019,1,1976,178249.1
263,25/03/2019,1,1976,52369.65
277,26/03/2019,1,1976,178013.95
278,26/03/2019,1,1976,634885.34
288,27/03/2019,1,1976,127083.21
289,27/03/2019,1,1976,135555.44
290,27/03/2019,1,1976,29367.9
291,27/03/2019,1,1976,61658
292,27/03/2019,1,1976,12424
293,27/03/2019,1,1976,30084.81
294,27/03/2019,1,1976,624476.5
295,27/03/2019,1,1976,287576.63
296,27/03/2019,1,1976,207233.13
314,28/03/2019,1,1976,353644.52
315,28/03/2019,1,1976,514198.02
329,29/03/2019,1,1976,585.1
330,29/03/2019,1,1976,159063.36
331,29/03/2019,1,1976,8917.07
332,29/03/2019,1,1976,37922.61
361,02/04/2019,1,1976,215959.84
362,02/04/2019,1,1976,1281552.09
363,02/04/2019,1,1976,458880.07
365,03/04/2019,1,1976,340182.13
366,03/04/2019,1,1976,246273.7
367,03/04/2019,1,1976,6312.63
368,03/04/2019,1,1976,152779.69
369,03/04/2019,1,1976,166266.22
371,04/04/2019,1,1976,288706.12
372,04/04/2019,1,1976,642845.97
373,04/04/2019,1,1976,2396.91
379,08/04/2019,1,1976,408539.91
380,08/04/2019,1,1976,80722.69
381,08/04/2019,1,1976,550736.75
383,09/04/2019,1,1976,241131.92
384,09/04/2019,1,1976,1033407.89
389,10/04/2019,1,1976,50720.38
390,10/04/2019,1,1976,182628.48
391,10/04/2019,1,1976,56780.44
392,10/04/2019,1,1976,8363.49
397,11/04/2019,1,1976,96882.69
398,11/04/2019,1,1976,244814.9
399,11/04/2019,1,1976,170403.54
400,11/04/2019,1,1976,532655.81
401,11/04/2019,1,1976,67493.14
407,12/04/2019,1,1976,35898.9
408,12/04/2019,1,1976,98857.37
409,12/04/2019,1,1976,400629.03
416,15/04/2019,1,1976,470710.55
417,15/04/2019,1,1976,6910.45
418,15/04/2019,1,1976,237690.39
423,16/04/2019,1,1976,783332.97
424,16/04/2019,1,1976,7203.67
425,16/04/2019,1,1976,13703.44
433,17/04/2019,1,1976,157068
434,17/04/2019,1,1976,89756.66
435,17/04/2019,1,1976,145983.22
439,18/04/2019,1,1976,257747.43
440,18/04/2019,1,1976,339811.39
452,20/04/2019,1,1976,100000
455,22/04/2019,1,1976,138115.39
456,22/04/2019,1,1976,272959.13
459,23/04/2019,1,1976,203784.92
481,24/04/2019,1,1976,206659.8
496,25/04/2019,1,1976,10661.48
497,25/04/2019,1,1976,115730.74
498,25/04/2019,1,1976,109098.11
499,25/04/2019,1,1976,37039.16
526,28/04/2019,1,1976,690502.69
527,28/04/2019,1,1976,246506.81
544,29/04/2019,1,1976,314465.56
545,29/04/2019,1,1976,97249.88
546,29/04/2019,1,1976,157980.22
547,29/04/2019,1,1976,352378.81
562,30/04/2019,1,1976,187357.12
569,05/05/2019,1,1976,429434.15
570,05/05/2019,1,1976,287085.72
571,05/05/2019,1,1976,210596.54
576,06/05/2019,1,1976,146659.65
577,06/05/2019,1,1976,7216.59
580,07/05/2019,1,1976,52803.7
581,07/05/2019,1,1976,111279.66
582,07/05/2019,1,1976,89465.58
583,07/05/2019,1,1976,350716.92
590,08/05/2019,1,1976,96448.06
591,08/05/2019,1,1976,72766.1
592,08/05/2019,1,1976,37543.19
593,08/05/2019,1,1976,25481.95
594,08/05/2019,1,1976,167735.14
601,09/05/2019,1,1976,15933.03
602,09/05/2019,1,1976,82141.1
603,09/05/2019,1,1976,65649.6
604,09/05/2019,1,1976,84594
605,09/05/2019,1,1976,12971.2
610,10/05/2019,1,1976,14148.07
611,10/05/2019,1,1976,202269.66
624,13/05/2019,1,1976,452197.04
625,13/05/2019,1,1976,73750.56
626,13/05/2019,1,1976,3617.14
640,14/05/2019,1,1976,47114.84
641,14/05/2019,1,1976,290897.26
648,15/05/2019,1,1976,139546.18
649,15/05/2019,1,1976,2640.62
650,15/05/2019,1,1976,401325.33
651,15/05/2019,1,1976,2735.1
652,15/05/2019,1,1976,385205.03
653,15/05/2019,1,1976,149681.45
665,16/05/2019,1,1976,45570.11
666,16/05/2019,1,1976,13745.4
667,16/05/2019,1,1976,8075.9
668,16/05/2019,1,1976,6251.57
669,16/05/2019,1,1976,58305.66
670,16/05/2019,1,1976,326750.81
677,17/05/2019,1,1976,1047157.8
678,17/05/2019,1,1976,16032.5
679,17/05/2019,1,1976,16981.3
686,20/05/2019,1,1976,386156.03
687,20/05/2019,1,1976,131197.19
688,20/05/2019,1,1976,150968.74
689,20/05/2019,1,1976,12366.88
701,21/05/2019,1,1976,394881.24
702,21/05/2019,1,1976,13989.28
703,21/05/2019,1,1976,254388.99
704,21/05/2019,1,1976,205201.92
715,22/05/2019,1,1976,365057.89
716,22/05/2019,1,1976,179053.96
717,22/05/2019,1,1976,74945.65
718,22/05/2019,1,1976,114072.06
727,23/05/2019,1,1976,228508.34
747,24/05/2019,1,1976,3323.29
748,24/05/2019,1,1976,304303.18
749,24/05/2019,1,1976,125125.2
750,24/05/2019,1,1976,42102.4
763,27/05/2019,1,1976,440635.1
764,27/05/2019,1,1976,43030.7
765,27/05/2019,1,1976,68717.97
766,27/05/2019,1,1976,190764.56
767,27/05/2019,1,1976,40094
768,27/05/2019,1,1976,820558.34
787,28/05/2019,1,1976,254050.9
788,28/05/2019,1,1976,2638.4
819,29/05/2019,1,1976,46844.84
820,29/05/2019,1,1976,252522.68
821,29/05/2019,1,1976,1643422.72
848,30/05/2019,1,1976,8739.08
849,30/05/2019,1,1976,25676.09
